play name	written	print	number of stages	len_stages_words	len_speeches_words	total_number_of_verbs	verbs set	number of unique verbs	stages_to_speeches_ratio	verb_diversity(uniqueverbs/totalverbs)	verbs_share_in_stages	av_stage_length	stages_to_all_text_ratio
Спор древних греческих философов об изящном	1854	1854	15	584	356	36	отворачиваться,оставаться,отодвигать,приостанавливаться,направляться,сближаться,доходить,изгибаться,смотреть,откидываться,зеленеть,продолжать,взглядывать,представлять,стоять,ползать,разгорячиться,быть,закидывать,летать,начинать,останавливаться,куриться,выдвигать,постоять,опираться,сосать,выходить,направлять,возлагать,переставлять,	31	1.64044943820225	0.861111111111111	0.061643835616438	38.9333333333333	0.621276595744681
Сродство мировых сил	1884	1884	46	1320	1239	115	оставаться,хватать,напевать,обнажать,кивать,ослабевать,брать,забрасывать,метаться,пробуждаться,подниматься,восходить,выворачивать,дуть,утопать,предвидеть,взвиваться,становиться,вспоминать,распахивать,замечать,притягивать,расширяться,обходить,класть,приближаться,исчезать,наклоняться,взлетать,лежать,осматриваться,стонать,светиться,закутывать,приподниматься,висеть,задумываться,прерывать,появляться,тащиться,взволновать,сидеть,заглядывать,подходить,пытаться,ощупывать,очнуться,придавливать,зацепляться,алеть,вынимать,оглядываться,происходить,прикреплять,закидывать,махать,повертывать,нагибаться,вставать,закинуть,останавливаться,освещать,пробегать,кричать,садиться,ударять,петь,испугать,воцаряться,смотреть,разрываться,падать,налетать,подымать,наступать,стоять,приходить,уходить,сваливаться,проясниваться,надевать,улетать,дрожать,снимать,начинать,рушиться,шевелиться,	87	1.06537530266344	0.756521739130435	0.087121212121212	28.695652173913	0.515826494724502
Черепослов, сиречь Френолог	1856	1860	164	3108	2953	268	отворачиваться,отступать,оставаться,фыркать,говорить,приседать,переменяться,вздрагивать,стараться,рыдать,кланяться,приподымать,писать,придвигать,встряхивать,качать,хотеть,вскакивать,обривать,становиться,благословлять,опираться,вздыхать,написать,бить,захлопывать,перелистывать,удерживать,обращаться,идти,примачивать,бросаться,испугаться,заслонять,перебегать,брить,преследовать,сделать,ходить,отталкивать,приближаться,приставать,жеманиться,расставлять,прижиматься,драть,отдыхиваться,оборачиваться,отвечать,висеть,находиться,нарушать,воспользоваться,обертываться,кокетничать,сталкиваться,пробиваться,удерживаться,стареть,задумываться,подбегать,выходить,прерывать,задремать,сморщиваться,посмотреть,передвигаться,приниматься,отмахиваться,плакать,вязать,сидеть,подходить,твердить,накинуть,ободряться,ощупывать,опускаться,целовать,подсмеиваться,подавать,останавливать,всматриваться,исчерчивать,продолжать,держать,прикладывать,прислушиваться,ставить,наклонять,устанавливаться,раздаваться,перебивать,происходить,знакомиться,повторяться,подхватывать,вставать,останавливаться,пробегать,кричать,оканчивать,садиться,дремать,передавать,заниматься,усаживаться,ударять,поскальзываться,сбрасывать,рассердить,петь,грозиться,смотреть,раздражать,робеть,падать,съеживаться,делать,подымать,вырывать,пугаться,представлять,стоять,слушать,фальшивить,уходить,построить,входить,следить,рассматривать,надевать,снимать,начинать,помолчать,всхлипывать,запыхаться,выбегать,	138	1.05248899424314	0.514925373134328	0.086229086229086	18.9512195121951	0.512786668866524
Балаганчик	1906	1906	39	1837	2581	145	прятаться,разбегаться,хватать,истекать,говорить,брать,раздергиваться,лопнуть,выкидывать,касаться,торжествовать,умирать,подниматься,стоить,быть,вырываться,оживляться,поболтаться,хотеть,вскакивать,перегибаться,взвиваться,выкатить,вздыхать,вытягиваться,бить,серебриться,прогуливаться,болтаться,обращаться,идти,замечать,полететь,выступать,бросаться,кружиться,прыгать,класть,вырезываться,складывать,выскакивать,толпиться,откидываться,исчезать,наклоняться,лежать,прижиматься,обнаруживаться,нарисовать,размечтаться,светлеть,спотыкаться,застыдиться,приподниматься,висеть,всплескиваться,подбегать,смеяться,высовываться,врываться,вылезать,появляться,взволновать,разронять,сидеть,склонять,подходить,опрокидывать,колебать,услыхать,очнуться,опускаться,вынимать,спрятать,молчать,теряться,копошиться,чертить,казаться,улыбаться,душить,соединять,останавливаться,удаляться,освещать,кричать,оживать,целоваться,просовываться,заниматься,гнаться,оказываться,распинать,петь,вырастать,испугать,шептать,смотреть,повисать,склоняться,обращать,раскачиваться,стоять,приходить,сдвигаться,заиграть,уходить,сваливаться,взъерошивать,бродить,следить,оттягивать,улетать,помолчать,начинать,убегать,видеть,	117	0.711739635800077	0.806896551724138	0.078933043004899	47.1025641025641	0.415799004074242
Снежимочка	1908	1915	98	1812	2665	178	разбегаться,оставаться,играть,начинаться,прилегать,говорить,пришепетывать,всходить,попадаться,каркать,вздрагивать,веять,взмахивать,одевать,приползать,проноситься,зыбить,наламывать,отдыхать,поглядывать,бегать,проходиться,лединять,отслоняться,вскакивать,пользоваться,убегать,подыматься,называть,готовиться,понурить,драться,благословлять,становиться,навертываться,слетать,опираться,хлестать,облизываться,идти,выносить,кружиться,прыгать,подкладывать,преследовать,срывать,сделать,рассыпаться,подлетать,ходить,давать,отворять,исчезать,глядеть,прострелить,наклоняться,клевать,лежать,взлетать,сюсюкать,поникать,окружать,помавать,размерять,мелькать,вытягивать,гореть,качаться,заставлять,завывать,звучать,картавить,перепархивать,смеяться,ипомогать,выходить,проливать,плакать,появляться,посвистывать,заливаться,опрокидывать,целовать,прилетать,расползаться,продолжать,показываться,шипеть,передразнивать,заменять,прислушиваться,вызывать,ловить,чертить,предлагаться,махать,уноситься,вставать,останавливаться,разгорячать,удаляться,пробегать,кричать,размахивать,садиться,усаживаться,ударять,скакать,вылетать,петь,помнить,отдаваться,смотреть,просить,склоняться,падать,налетать,делать,подымать,читать,оставлять,растопыривать,уходить,отправляться,блестеть,улетать,хлопотать,дрожать,когокоснуться,задыхаться,снимать,трястись,надевать,выпучивать,бежать,признавать,сечь,выбегать,знать,сощуривать,	140	0.679924953095685	0.786516853932584	0.098233995584989	18.4897959183673	0.404735313826223
Незнакомка	1906	1907	132	3086	5371	269	шататься,мычать,прятаться,мигать,обрамлять,грустить,оставаться,напевать,грозить,говорить,брать,притихать,торчать,подрагивать,полагать,звездиться,краснеть,припоминать,хихикать,хмелеть,порхать,запорашивать,уплотняться,стараться,описывать,одевать,подниматься,похрустывать,восходить,ерзать,писать,уничтожать,пить,чмокать,быть,разносить,узнавать,запинаться,вырываться,переставать,ждать,плыть,становиться,заплетаться,опираться,закручиваться,встречать,доноситься,обращаться,идти,обниматься,замечать,бросаться,мочь,протягиваться,подержать,кружиться,жевать,заслонять,складывать,медлить,шептаться,выскакивать,давать,отгонять,сомневаться,толпиться,исчезать,наклоняться,срываться,скатываться,возвращаться,вспыхивать,доплывать,сконфузить,вспомнить,развертывать,светиться,удивлять,впархивать,гореть,качаться,оборачиваться,сморкаться,отвечать,шарить,смеяться,подбегать,прерывать,орать,выходить,умолять,потемнеть,нырнуть,колебаться,плакать,появляться,заглядывать,сидеть,подходить,просыпаться,заминать,полагаться,вытаскивать,булькать,проглатывать,выпаливать,бормотать,расступаться,всматриваться,продолжать,вынимать,шипеть,осыпать,ловить,молчать,проскальзывать,вбегать,казаться,дымиться,улыбаться,волочь,хохотать,вставать,хранить,останавливаться,удаляться,освещать,кричать,садиться,дремать,опушать,подзывать,щелкать,петь,продолжаться,простереть,долженствовать,смотреть,застегнуть,захмелеть,падать,делать,обращать,замолкать,осоловеть,читать,шевелить,застывать,произноситься,стоять,отходить,обрываться,тянуться,раскрываться,присоединяться,пропадать,построить,входить,исчерпываться,блестеть,рассматривать,начинать,хлебать,открываться,бежать,послушаться,убегать,	168	0.574567119716999	0.62453531598513	0.087167854828257	23.3787878787879	0.364904812581294
Кабала святош (Мольер)	not specified in tei	1962	506	7888	15194	696	отступать,припадать,взрывать,оставаться,прятаться,закрываться,играть,начинаться,хватать,крестить,напевать,ссориться,говорить,тосковать,приседать,брать,кивать,заламывать,торчать,оторопеть,умолкать,шмыгать,раздеваться,погружаться,слышаться,угасать,сгибать,декламировать,взвизгивать,пойти,вздрагивать,выхватывать,изучать,рычать,упасть,стараться,переодеваться,обнимать,кланяться,красться,повертываться,одевать,подниматься,сбегать,захрапеть,писать,разваливаться,пить,подумать,быть,грянуть,узнавать,хотеть,переставать,укладываться,пробовать,вскакивать,разделять,плыть,благословлять,становиться,поправлять,наставать,чинить,увлекаться,бить,зазвучать,вздуваться,громоздиться,доноситься,заблестеть,менять,глотнуть,идти,лягать,полететь,стихать,накрываться,выступать,бросаться,волноваться,испугаться,браться,устремляться,держаться,загудеть,скорчиться,класть,звонить,высовывать,вооружаться,закутываться,рассмеяться,иметь,распахиваться,бледнеть,прорываться,скрываться,хныкать,ходить,поравняться,схватываться,исчезать,глядеть,выплывать,взмывать,срываться,удивляться,есть,лежать,возвращаться,взлетать,послышаться,плюнуть,кончать,окружать,приплясывать,мерцать,хвататься,накликать,постареть,постучать,взять,удивлять,настораживаться,возникать,гореть,течь,отодвигаться,приподниматься,висеть,гудеть,мести,напоминать,выходить,смеяться,чувствоваться,вопить,шарить,посмотреть,лезть,высовываться,подползать,отмахиваться,вылезать,разрывать,плакать,разбивать,появляться,заглядывать,взволновать,сидеть,отделять,подходить,влетать,пытаться,опрокидывать,просыпаться,загораться,ощупывать,поймать,опускаться,целовать,вести,застыть,подавать,погасать,бормотать,засуетиться,спеть,кончаться,спать,аккомпанировать,проходить,расступаться,ныть,продолжать,показываться,вынимать,держать,оглядываться,прикладывать,переполнять,прислушиваться,вызывать,ставить,порхнуть,оттаскивать,набивать,проскальзывать,вставлять,вскрикивать,заикаться,пожалеть,теряться,вбегать,зарыдать,освещаться,улыбаться,раздаваться,взрываться,спрятать,подуть,повторяться,зажимать,валить,махать,трясти,душить,выбегать,стрелять,вставать,останавливаться,прикладываться,освещать,расстраивать,маддевать,кричать,тушить,оживать,перекрещиваться,прокрадываться,оканчивать,садиться,поглощать,втыкать,стучать,изменяться,подчеркивать,встревожить,запугивать,ударять,заплакать,вкладывать,сбивать,зареветь,требовать,удаваться,схватывать,сходить,сбрасывать,махнуть,вылетать,затемнять,повалить,вжиматься,втираться,валяться,петь,ворчать,вырастать,молчать,здравствовать,утихать,шевельнуться,загреметь,замирать,гаснуть,оскаливать,аплодировать,шептать,веселиться,повисать,смотреть,запевать,забираться,хлопнуть,ужасаться,разрываться,расхохотаться,выглядывать,падать,отстранять,шуметь,делать,замолкать,попадать,креститься,читать,наступать,застывать,представлять,стоять,слушать,ложиться,думать,приходить,подкрадываться,выравниваться,раскрываться,уходить,подавлять,пропадать,погрозить,входить,бродить,надвигать,двинуть,выделяться,следить,улетать,надевать,снимать,начинать,трястись,задыхаться,превращаться,открываться,затихать,обнаруживать,всхлипывать,оцепенеть,прятать,плевать,убегать,отрывать,видеть,сиять,расплываться,	319	0.519152296959326	0.458333333333333	0.088235294117647	15.5889328063241	0.341738150940126
Король на площади	1906	1907	133	3541	7280	297	отступать,клубиться,оставаться,гулять,прерываться,встречаться,играть,проникать,начинаться,говорить,всходить,шмыгать,двинуться,гнать,возрастать,укачивать,слышаться,упасть,вздрагивать,стараться,выныривать,умирать,метаться,обнимать,кланяться,проноситься,подниматься,восходить,сбегать,вглядываться,переставать,качать,взвиваться,распространять,ждать,роптать,потряхивать,становиться,опираться,завертываться,бить,сливаться,возвышаться,доноситься,убивать,шелестеть,направляться,распахивать,обращаться,идти,смешиваться,захлебываться,лететь,выступать,прыгать,трубить,собираться,светать,срывать,бледнеть,расти,рассыпаться,выскакивать,прорываться,давать,отталкивать,приближаться,пресыщать,исчезать,слышать,прильнуть,лежать,прислоняться,вспыхивать,разъярять,потускнеть,хвататься,разгораться,мелькать,светиться,нарушаться,гореть,качаться,избороздить,возобновляться,пробираться,находиться,гудеть,выходить,вопить,зажигаться,прерывать,высовываться,вылезать,разрывать,плакать,появляться,сидеть,подходить,свистеть,заливаться,просыпаться,опускаться,спускаться,господствовать,струиться,бормотать,носиться,покатываться,сгущаться,спать,звенеть,рыскать,вынимать,держать,вечереть,охватывать,раскатываться,молчать,раздаваться,казаться,брести,рвать,подуть,вступать,зажимать,закидывать,выпрямляться,подхватывать,рассеиваться,расшатываться,смолкать,подплывать,останавливаться,прибывать,удаляться,кричать,отдалять,садиться,стучать,сдерживать,расходиться,искать,продавать,сходить,вмешиваться,петь,вырастать,баюкать,бороться,продолжаться,замирать,смотреть,прикасаться,склоняться,усиливаться,приветствовать,огибать,падать,подвигаться,взглядывать,обращать,креститься,внимать,представлять,оставлять,стоять,хлынуть,разглядеть,пятиться,уходить,присоединяться,пропадать,блестеть,следить,дрожать,начинать,нестись,ломать,затихать,бежать,всхлипывать,рушиться,заволакиваться,убегать,	185	0.486401098901099	0.622895622895623	0.083874611691613	26.6240601503759	0.32723408187783
Закат	not specified in tei	1928	294	5737	12186	489	уставляться,подпевать,мычать,припадать,мигать,расписывать,играть,распаляться,хватать,издавать,напевать,свисать,говорить,молиться,приседать,фыркать,брать,переваливаться,отшвыривать,бурчать,торчать,застреливать,вкатывать,полагать,беседовать,ужалить,грызть,сшибать,сдвигать,закалывать,раздвигаться,вздрагивать,двигать,запудривать,рычать,потянуть,рыдать,метаться,кланяться,подниматься,стоить,обмениваться,ерзать,писать,облачаться,протягивать,дуть,пить,доставать,пылать,порываться,встряхивать,откатываться,вырываться,грянуть,шнырять,изрыть,реветь,качать,укладываться,вскакивать,расхаживать,ринуться,остолбенеть,потягивать,разделять,подбираться,становиться,сгибаться,слетать,мять,чистить,бить,захлопывать,выталкивать,доноситься,идти,курить,полететь,стихать,выступать,петушиться,бросаться,тащить,блистать,всклокочивать,взбираться,жевать,разодевать,срывать,бледнеть,закуривать,затрепывать,оробеть,откидываться,кидаться,вываливаться,шлепать,исчезать,глядеть,приближаться,выплевывать,хлопать,светить,лежать,расставлять,возвращаться,завизжать,прислоняться,объяснять,пошатываться,греметь,осенять,роиться,заворачиваться,стонать,топать,швырять,хвататься,разгораться,волочиться,взять,мотать,катиться,качаться,течь,спотыкаться,заставлять,оборачиваться,перекидывать,метать,приподниматься,отодвигаться,раскладывать,сворачивать,нарушать,натыкаться,воспалять,завивать,выходить,смеяться,зажигаться,прерывать,лезть,покоиться,орать,разрезать,плакать,разбивать,тащиться,появляться,брызгать,сидеть,нарумянивать,слезать,подходить,двигаться,влетать,пытаться,пробежать,обеспокоить,загнать,раскалять,заливаться,подманивать,опускаться,озарять,вытаскивать,целовать,вести,застыть,подавать,топтать,бормотать,обезуметь,прижимать,лопотать,спать,негодовать,продолжать,затопать,показываться,скрипеть,устремлять,прикладывать,разглядывать,оглядываться,ввинчивать,ставить,вставлять,молчать,наливать,заикаться,исписывать,раздаваться,происходить,улыбаться,брести,озираться,кипеть,выкатиться,зажимать,валить,переговариваться,махать,подхватывать,работать,нагибать,хохотать,трясти,душить,разбудить,вертеть,вламываться,стрелять,вставать,закинуть,дергать,торопиться,валиться,приставлять,освещать,кричать,представляться,укладывать,оканчивать,стягивать,садиться,поддерживать,отставлять,заливать,расходиться,струшивать,искать,усаживаться,трепетать,заплакать,стучать,разражаться,суетиться,воззриться,ворочать,распушать,схватывать,сотрясаться,сбрасывать,попивать,тыкать,сплевывать,ворочаться,петь,вваливаться,придвигаться,пересмеиваться,слоняться,хрипеть,ползти,подаваться,смотреть,запевать,тушить,задергивать,вздуваться,усиливаться,склоняться,вытекать,просвываться,падать,оттопыривать,замолкать,читать,раскачиваться,наступать,бубнить,шевелить,представлять,стоять,отходить,пятиться,сбросить,тянуться,шаркать,уходить,надуваться,визжать,вкатываться,входить,бродить,усаживать,биться,наполняться,оттягивать,дрожать,заваривать,снимать,трястись,удирать,начинать,настраивать,вплывать,подмигивать,прыгнуть,вертеться,отплевываться,стискивать,разливаться,прятать,сыпать,выжимать,всхлипывать,вилять,облезть,убегать,склонять,посадить,	315	0.470786148038733	0.644171779141104	0.085236186160014	19.5136054421769	0.320091502538637
Дети Ванюшина	1901	not specified in tei	471	9808	22934	920	действовать,шататься,прятаться,увивать,помогать,мочить,звать,встречаться,оставаться,искалечивать,осматривать,раздваивать,играть,молиться,говорить,поздравлять,брать,отбегать,привставать,шутить,владеть,погружаться,раздеваться,полагать,доходить,сообщать,бояться,желать,упасть,состарить,стараться,рыдать,трепать,ободрять,обнимать,кланяться,одевать,проноситься,выпивать,стоить,пробуждаться,унаследовать,писать,протягивать,разваливаться,доставать,пить,подумать,быть,вырываться,белиться,уверяться,хотеть,окаймлять,качать,переставать,вскакивать,убегать,пересчитывать,подыматься,называть,остолбенеть,куриться,ждать,становиться,увидеть,ожидать,навертываться,определять,опираться,увлекаться,вспоминать,написать,всплескивать,бить,приотворять,доноситься,проезжать,перелистывать,увидать,считать,удерживать,обращаться,идти,курить,дышать,подсматривать,скидывать,замечать,выступать,мочь,тащить,волноваться,рекомендовать,подслушивать,держаться,багроветь,класть,задумывать,растягивать,закуривать,поступать,шепелявить,сделать,выскакивать,скрываться,ходить,давать,отталкивать,нести,отворять,вываливаться,кидаться,догонять,схватываться,приставать,глядеть,слышать,отворяться,хлопать,жеманиться,есть,возвращаться,отдавать,причесывать,осматриваться,расставлять,раздуваться,вспыхивать,сажать,взяться,расстегивать,окружать,топать,хвататься,сконфузить,вспомнить,делаться,раздражаться,лопать,прижиматься,уметь,обрадовать,взять,удивлять,присутствовать,подставлять,спотыкаться,заставлять,оборачиваться,обрадоваться,здороваться,ласкать,висеть,находиться,пересиливать,завивать,сталкиваться,выходить,смеяться,задумываться,гладить,побледнеть,посмотреть,подбегать,овладевать,одеваться,плакать,принадлежать,появляться,взволновать,нахмуриваться,сидеть,подходить,поцеловать,следовать,накинуть,приготовлять,мешать,опускаться,целовать,спускаться,тереть,вести,подавать,прижимать,решаться,проходить,продолжать,показываться,вынимать,держать,отрываться,отделяться,заменять,спрятать,вызывать,прислушиваться,молчать,вскрикивать,ставить,наливать,сжиматься,раздаваться,вбегать,происходить,освещаться,допивать,повторять,озираться,кипеть,блестеть,захватить,улыбаться,синеть,растериваться,покачивать,хохотать,помещаться,ошеломлять,вставать,смолкать,дергать,торопиться,останавливаться,освещать,расстраивать,пробегать,кричать,дотрагиваться,относиться,тронуть,дразнить,садиться,целоваться,озлоблять,стучать,сдерживать,искать,растрепывать,встревожить,скакать,наделять,ударять,поддерживать,затрагивать,подчеркивать,недоумевать,чувствовать,отвертываться,сердиться,удаваться,сказать,сходить,схватывать,сбрасывать,петь,терять,учиться,шептать,смотреть,тушить,раздражать,склоняться,вдохновляться,падать,выглядывать,взглядывать,отстранять,делать,обращать,попадать,читать,подергивать,оставлять,стоять,думать,слушать,приходить,отходить,уяснять,щупать,уходить,кидать,пропадать,позволять,исключать,входить,обжигаться,наполняться,усаживать,успевать,следить,надевать,бродить,заваривать,дрожать,начинать,рассматривать,снимать,превращаться,бежать,нажимать,прийти,прятать,выбегать,подавлять,видеть,передразнивать,	309	0.427661986570158	0.335869565217391	0.093800978792822	20.8237791932059	0.299554089548592
